,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,iqa,q00,q10,q11c,q11s,q20,q21c,q21s,q22c,q22s,q30,q31c,q31s,q32c,q32s,q33c,q33s,q40,q41c,q41s,q42c,q42s,q43c,q43s,q44c,q44s
0,2.3434562244404704,4.290614756000131,0.5110044212681036,4.533460079863074,1.5440461330926083,-0.5892175445882037,5.197883669508752,1.5768629280435358,-1.1495977284471373,5.993829105569488,1.290918508627493,-0.47316559746523523,5.802476322587425,1.8500767415381474,-0.44166644426367097,7.69182561831942,1.5525877962185055,-1.183429928844006,5.372735993567805,1.6244427072099477,1.0194692520773514,9.567721108798056,1.5219858005491675,-1.0086024642961235,9.071753664934155,1.613272165978125,-1.4854946012576413,7.241822332545134,1.5186066044876505,0.9234582253191684,4.794474663640484,1.4121204974563017,1.3208987298854078,6.168461514580768,1.9292070887560329,1.137677281704302,11.15867424803153,1.5988343528029179,-1.43095123839743,8.826815900817168,1.8129838127667999,-1.5981941511899243,9.174380025055047,1.447330910598522,-1.6314155745481929,4.252166836038681,1.6357003067706566,-1.490335145327354,5.820005523973011,1.5597933537137147,0.2827085711959831,-75.404044234,-1.2068206531,0.01694549532699581,-0.3908333822102342,8.642444465495336e-05,-0.3004816593333919,-0.0006976591680439249,0.023524616157962617,0.19453261349207135,0.007815132110456043,0.006309211848334847,-0.7481006801366573,0.19268414483732008,-0.016752981714622715,-0.08637507308963525,-0.44835920042112626,0.14153663530804725,0.03493321549045588,0.049159322141076406,-0.2589328537658618,0.6499481380392237,0.15740553262965962,-0.09087659376470267,-0.2224181125166079,1.2016654886032663,-0.2924076632760988
1,2.331986364836229,4.390990835965036,0.5100515147917062,4.537670026708578,1.6282129623674875,-0.5437029101924858,5.000715953867419,1.5282766718516896,-1.1141703620354595,6.02189838052897,1.3803341281683545,-0.405042996260506,5.765014609915362,1.943326467501293,-0.4731235715667512,7.464585899407996,1.5768490078271615,-1.2561994292674254,5.389045036609556,1.4819548820002735,1.0188020906783033,9.288034889184724,1.6717900772268866,-1.1089639709890629,8.342434814281402,1.5179438951533015,-1.5998151855891736,7.325308798445537,1.5757990759790512,0.969831952050064,5.837024491463668,1.1352331230930117,1.1056190463694595,5.245127478186157,1.697987050121738,1.338059088283381,7.145041507226852,1.5925939536246672,-1.8227811196191763,9.266228486396587,1.305601830475647,-1.6135988606954192,10.086992566165177,1.649836297589487,-1.6201878353412165,4.068757653142018,1.3770911377777606,-1.4337845884406262,5.94941791552365,1.5845193815444685,0.3166325754964766,-75.402708457,-1.1908426895,-0.025305526960863897,-0.42744418922520633,-0.01957542057492867,-0.2720522796676197,0.0001046438180111416,-0.03230737891376769,0.15868060090305502,-0.0026628680408709174,-0.11647796598885697,-0.7918050197454479,0.20826520070135032,-0.10419037389770333,0.10136068083395304,-0.3637550571577565,0.20492725609808568,-0.06143907652284409,-0.09763146814427957,0.33936585754443016,0.30028771964076384,0.09609034935722924,0.1392225591289407,0.36232962082668013,1.1367691284667616,-0.14908598996272435
2,2.256500752181254,4.216658263106931,0.5263558739841527,4.620289576207885,1.5725756738349201,-0.562411311445624,5.526441312172465,1.651585375518313,-1.09779964732894,5.750762943917927,1.2508567988390256,-0.4746718528908395,6.028933930115359,1.8087297202610861,-0.41288164459359183,8.063313481537032,1.751943958838127,-1.0939008410549298,5.410255555514561,1.6677693387882706,1.0473773077585378,9.714608043244537,1.7125750015682821,-0.9167423977318797,9.312433869223304,1.8944245400210429,-1.374480374826682,7.266489663130475,1.5302507697458414,0.9866957700058105,5.008126871029556,1.5144835057869257,1.415039756027701,5.881790727262563,2.0146552628817207,1.1359890316609964,8.539484422039797,2.0647641943739763,-1.5020013758249569,9.896235952019511,1.7380105292264605,-1.519809437098412,11.241309855649076,1.9350091435792072,-1.2908774377139611,4.784425696452702,1.6996236649361012,-1.435178378603703,5.705649012288206,1.5865871600050656,0.32122769405382423,-75.395536346,-1.2600698411,0.011414580700937461,-0.4561537538974359,0.028617264313487545,-0.23647956926322358,-0.005197170922187406,0.011577628849955664,0.1872429252816224,0.028235468686708544,0.10210252896130417,-0.8575162009305979,0.10453318240063555,0.08943524518514291,-0.003961925990851493,-0.38464514521605603,0.01726256103369649,0.2091058631785358,-7.069198985855079e-05,-0.22835404801892636,0.2525713793292301,0.3047618934946741,-0.03770374320914585,-0.175624503683835,1.011725153078552,-0.09359038991882808
3,2.2396316314944302,4.166210595225111,0.5391656989112851,4.5043877042586775,1.5570184774770295,-0.567920607172518,4.802104593290898,1.493769323737042,-1.173428662339156,5.886411972581071,1.2716804640129122,-0.45911917757223353,5.747188147827044,1.8549816133853598,-0.4997036433903224,7.434782557065051,1.473999572038766,-1.278336004276967,5.51668802223561,1.4619012163766802,1.0277185414075403,9.19215782485933,1.4638428419357792,-1.106894123775331,8.479064493975565,1.4186028133489648,-1.6273395510837139,5.827714708775082,1.7289762975978937,1.2937904208582531,7.49002792144008,1.4599844159247297,0.90939432786039,5.527464762719142,1.1329259105683391,1.208136720445503,8.659739852084098,1.1991559207377982,-1.7026309087292086,10.471957738036227,1.4714062437185194,-1.6038785282742778,7.621988930251848,1.5865786732650182,-1.8001858511626276,3.7011206577070763,1.499042155727614,-1.5472024719525523,5.710802716328832,1.5801343843890323,0.34482871562566525,-75.393968721,-1.2620563463,-0.005289304724865843,-0.44894405468516857,-0.016381023696688424,-0.29727673768844826,0.009297512652025051,-0.027235411802935407,0.0564226902123646,0.04273029376200349,-0.11394803547241249,-0.8514672995265985,0.33425616824222476,-0.14715726982414265,-0.010937656283916939,-0.33542733804399294,0.42173656342686244,0.11010829023496127,0.04708651578796551,0.07098893407190007,-0.008886047269395894,0.06295658236702524,0.08643777010139286,0.09654371455309357,1.2163771002912878,-0.5815741334686776
4,2.3654850193742867,4.33184423618967,0.5212208172515405,4.670693915029337,1.6624535207040358,-0.5237190330617395,5.163110140527341,1.6082145170213558,-1.1091671515400676,5.995215345020841,1.3634984377785788,-0.421513870557959,6.014999164784981,1.9516864462937267,-0.42790827562550726,7.689107308118148,1.5419966683194706,-1.22082385773675,5.631202505573927,1.4869362254114789,1.0134933919917557,9.598420005703135,1.4949574967701214,-1.0684155363037027,8.824259855925646,1.5877468582103131,-1.5573438497585672,7.562912053981751,1.6294563322082602,0.9659159736781114,6.3960142018619885,1.1635621232394848,1.060059544402386,5.367078053462685,1.663442694466815,1.3445208654668304,10.644977599553691,1.4997997672942407,-1.536901182458232,9.326197275653488,1.8094704637088372,-1.5820737178705464,7.936744923619299,1.4996133686849957,-1.7584985573264833,4.116857620434683,1.641292052320218,-1.471313376040326,5.996296064369961,1.6354196150647455,0.34303671903185223,-75.402144818,-1.167890922,-0.023404458802747025,-0.3979205242871539,0.00671422223417514,-0.28090342072632096,0.0030333469793420165,-0.0020392685514826793,0.20725868308531376,0.017170772724858705,0.040138176806761926,-0.7236423112717371,0.24728252975534581,0.0773014076131062,0.11671296657206696,-0.3452355593463482,0.26375710355482956,-0.006697789226154395,-0.1304455252908334,-0.020076182689080464,0.638416720218847,0.1679257117100147,0.15169226458103469,-0.028906638647994736,1.0979271618648112,-0.2870266436765383
5,2.3157296536095218,4.409469729846392,0.508678621433666,4.59258777698463,1.589690960640008,-0.5612305992673363,5.180693409257889,1.6346435703744073,-1.1134839017263283,5.806690856152949,1.2856918173910976,-0.491273641017494,6.056781279256104,1.8464624140123391,-0.40289353922930704,7.805658992102706,1.5619576992775384,-1.2206396747761592,5.593592231807504,1.6233784015315353,1.014268086895019,9.64516014673641,1.5241578407676215,-1.0665812344942396,8.936513281650212,1.5678686423640293,-1.5477302439207572,5.342083654071587,1.9296744940101214,1.2445764158896442,7.6047334304756475,1.6709648969643536,0.9760815084037429,5.879214076925741,1.303888813461425,1.2029856865895416,8.25269711395171,1.431930248192205,-1.7329371267939455,10.939582790698372,1.5245411932572857,-1.524742053117139,9.167349732283185,1.7881208948434772,-1.618300282739115,4.149496507311435,1.6973814998347694,-1.453125824802066,6.065722408463364,1.6395517809401348,0.310714555500798,-75.402723315,-1.2019136651,-0.0014270849901470324,-0.4503231226546789,-0.011832079759419412,-0.23923053466909974,-0.0052493525956141,0.014958243305240938,0.17169939687008556,-0.007393999292729742,0.1226833177498895,-0.8110823524588273,0.24522915411063848,0.12949691466567936,-0.01839766329913935,-0.3311667932676794,0.20497095790618028,-0.003981790168362408,-0.06438035322168167,-0.11136996179531918,0.23487483136154244,0.07369292342719624,-0.02066653783795719,-0.09068144319557701,1.0919324939781432,-0.20273008956153077
6,2.343572043886501,4.450713069546159,0.5153355184935363,4.661809980259349,1.6031920618957423,-0.5863712881915422,5.205550687500819,1.5585644655330042,-1.1444485000956437,6.072219675435296,1.3373169919459826,-0.48635377544950364,5.924417407435055,1.8945532231531266,-0.49290856952588585,7.622117530569031,1.6802610389656911,-1.220448007647579,5.5947233927945765,1.505139597747119,1.0255308766335267,9.331088203636407,1.765358062320805,-1.0467072688271384,8.858551980866212,1.6289645072796215,-1.5377514617144221,7.4413885674025115,1.6283548558519063,0.9640145420176595,6.202882328122472,1.1715834842471307,1.1199142871214591,5.256206573931659,1.672023101737774,1.3665037872096073,10.768906761080672,1.6953773522792503,-1.515399769921845,8.347051241324158,1.7522811960245255,-1.7309498718067657,8.9873374278381,1.412688561915118,-1.619317851038179,4.133662205655368,1.4900520607620136,-1.510516428970947,6.084557506619782,1.616329949734447,0.3363544728376651,-75.405214913,-1.1845279016,-0.01788870674353729,-0.4390864254852348,-0.011554066376483568,-0.2523530744671343,-0.00038982769340041595,-0.010149580596253581,0.15773758593478587,-0.004647591996694066,-0.04179636802599068,-0.7703125429270885,0.23782365598122937,-0.02121923545468351,0.03484145043713503,-0.29670740684157454,0.20332389965258957,0.10462168093530382,-0.05450819401485923,0.23138647589390718,0.5097482761481222,0.11937491637372598,0.1004801325523034,0.1703297285109095,1.1643641591446559,-0.25849013203475973
7,2.3330381547913936,4.265659423232183,0.5325296499886264,4.498117850869314,1.540593391597585,-0.5566527086439299,4.816097086460807,1.5029310966545404,-1.172058558530677,5.818392189338649,1.2734617804249673,-0.4199210172717113,5.8099592286611825,1.8475011068217004,-0.452646737648338,7.370800409408649,1.4553127010082807,-1.2642437987775041,5.296552104312638,1.4684920788352112,1.075885854712498,9.278658066083281,1.4771096676124653,-1.101093494593138,8.464269824346667,1.3340393758301656,-1.5972290585311977,5.681653554915962,1.120814439689069,1.1919631106517148,5.01842242000349,1.7447270060103077,1.358867370754587,7.273163101957879,1.5575907264253739,0.9990262854460881,7.647827184140763,1.3872847033545486,-1.8320597484855745,9.000294813193456,1.1093422584504697,-1.5958073416789853,10.372205462784306,1.4259830454685976,-1.6068439812489053,3.782099786925278,1.379297867915472,-1.5138886132593885,5.864883710985838,1.58179671634502,0.32653955918780897,-75.400687033,-1.2054677038,-0.012411731354094319,-0.397009010423944,-0.019382782090115954,-0.3332576870103605,0.012213474448312306,-0.0416241850914925,0.092984116913856,0.025745161025785654,-0.17054304431937245,-0.7604885955656645,0.22858526677470015,-0.17682805983360342,-0.02885691009739839,-0.3953287200143028,0.28357253808340765,-0.12984804315907789,0.05691316016672844,0.35567649500254456,0.2559064514295171,0.13772909676299833,0.09220203300018553,0.2993142979240127,1.3256311267613692,-0.355243137091165
8,2.353042181066826,4.27466117523869,0.5430949786358514,4.84577884829245,1.6825198054796444,-0.491304604917296,5.413783063814278,1.7116832744609936,-1.0394585132334937,6.0671278357903455,1.4006899517252476,-0.4121805404389769,6.298621906165821,1.925600785946297,-0.3353091685558628,8.106530414344103,1.6909981666498548,-1.1278343598235399,5.418918110216583,1.5648902888889842,1.1117518195156366,9.942056261887211,1.7058466326700186,-0.9599135259325305,9.120958507042523,1.6611570889735656,-1.4346470125594297,7.4098764145927,1.5566223482968227,1.0073761335117832,5.573499839162498,1.2507489750991507,1.3254955305854015,5.58251998349258,1.8753227445712575,1.325718139910354,8.803064609519247,1.4521370117366375,-1.51991076763452,11.163936953743853,1.648695828533529,-1.4069359620831066,8.82156281365291,1.8316596443548254,-1.6015132002996368,4.473981197359039,1.681462969291446,-1.3576694146297774,5.902512606719176,1.6334493679437514,0.34966967297779167,-75.399625956,-1.1813704932,-0.024689536471236936,-0.41291483940011436,0.05283574397909624,-0.25209269156638286,-0.001944508475934894,0.01398344609746522,0.237299094143294,0.03923685451536396,0.07750314065232737,-0.7313682348566096,0.172570689506121,0.15098738842688392,0.13017042542328175,-0.37381058344929136,0.08413430110210059,-0.10996233350267898,-0.12379086144015468,-0.10931854822038324,0.42021878354141556,0.2223584447766026,0.26081660839035287,-0.23913875503827536,0.993612868480955,-0.14783038283152433
9,2.3121515530715495,4.411378152860635,0.5151444936874648,4.595820562786315,1.6626008502018905,-0.5911461349859186,5.078530262632886,1.777290500850933,-1.1633759830496349,5.90053874992666,1.3585885961529631,-0.569839850775833,5.9736981068319395,1.9154655752774137,-0.4383918447378276,7.598869111218337,1.7724040921659963,-1.268621843459295,5.558556097332122,1.483590605290643,1.0075642029496081,9.27167662774245,1.6741909613600163,-1.1094149910150577,8.827766178027185,1.8697631010615152,-1.5807183893204222,7.138468661879264,1.2602025024954875,0.9973633842960608,4.8611969702818625,1.4628166705408738,1.372686605506747,6.872275857827741,1.731291685517333,1.0330894522065173,8.622436635482375,2.080840933746736,-1.6762827407920202,8.586218104577858,1.70446362167082,-1.780908865240191,10.969240694043856,1.858700728634154,-1.540384358877236,4.079905592272528,1.9247165084250621,-1.5042312124302166,6.133285426025064,1.6309267916614425,0.34845243553207184,-75.402248874,-1.2034655116,-0.021878948948629143,-0.4557722280568452,-0.025194431898035087,-0.24117112821332398,-0.008902689798243574,0.08396312799041822,0.1198863381100918,0.0006528611379427872,0.1454782189365976,-0.8018745824283959,0.06328164635159872,0.23013467552755457,0.08646194127404132,-0.28629286693778133,0.14107697797437024,-0.0015771643635328486,-0.10726117001232954,-0.4154620702738895,0.18893297417880722,0.19040243232396412,0.02612755572143383,-0.6705229506466717,1.1779695732323974,-0.21947096053879384
